Date,Institution,Thought,Category,Label
2/24/2023,HSBC,"I think it is quite remarkable that bearishness and perhaps the intensification of the bearishness that we've seen over the last couple of days now. Tactically, equities have outperformed a little bit too much if we compare it to long dated real rates, if we compare it to interest rate volatility.",Markets,Equity
2/24/2023,HSBC,"So perhaps there's a bit of correction potential in US equity still fine, but we were pretty vocal, that whenever we are going to see such dips, we'd rather be taking these as opportunities to buy rather than really throw in the towel.",Markets,Equity
2/24/2023,HSBC,Continuation of market rally boils down really to the overall economics and to the earnings outlook and especially to expectations.,Markets,Equity
2/24/2023,HSBC,"The reality is that we went into the winter of 2022 and 2023 with extremely bearish expectations. Remember that perhaps three or four months ago, consensus was basically positioned for an absolute calamity to happen in the eurozone, right? A gas crunch, gas prices shooting higher, the real incomes being squeezed even more, and so on and so on. So we had very pessimistic expectations that only just started to really perhaps turn a little bit.",Markets,Equity
2/24/2023,HSBC,"Equity allocation is Eurozone equities, we're not overweight in the US or Japan. Because the US has outperformed that move in rates a little bit too much. But having said that, I think once we get those dips in US equities in the growth market that I do think with almost 80 basis points of rate hikes cumulatively priced now for the next couple of Fed meetings, I do think that there is actually at this starting point right now perhaps a little bit more potential for dovish surprises. So both for long duration assets in rates but also in equities. And then it will be the time to really use those dips to scale up exposure in US.",Markets,Equity
2/24/2023,BER,"Combination of the excessive fiscal stimulus and monetary stimulus is what drove excess demand and the higher inflation. After extra 2 trillion fiscal stimulus from Biden's March 2021 package, we had this huge bulge in household disposable income, a large portion of which was spent, some was saved, and now it's still trickling out.",Economy,Inflation
2/24/2023,BER,"The biggest component, the shelter cost and rental costs, peak late spring, and then it's going to start to roll over, and that'll bring inflation down. But keep in mind, nominal spending growth is still too rapid. And then once that comes down, it takes a while for prices to adjust.",Economy,Inflation
2/23/2023,DB,"In the second half of the year, households lose their excess savings. I think that leads to household fragility.",Economy,Consumer Spending
2/23/2023,DB,"I think it's even more difficult in the current environment. As I look at those Q4 GDP numbers, the downgrade to consumption is meaningful.",Economy,Consumer Spending
2/23/2023,DB,"You obviously have a debt ceiling, which could lead to financial condition tightening and weaker government spending.",Economy,Debt Ceiling
2/23/2023,DB,"I think the recent data we've seen over the past several months, certainly the economy has momentum now. What we've seen from the jobs reports or retail sales or some of the survey data bottoming and picking back up all tells you I think that Q1 growth should be solid. It's certainly above trend, we think.",Economy,Growth
2/23/2023,DB,I think that the ongoing narrative that we hear from the Fed about this kind of gradual slowdown in growth over the coming quarters doesn't really seem to fit with the data that we have.,Economy,Growth
2/23/2023,DB,What we've seen from an inflation perspective is a lot less disinflation than we thought late last year. We see core inflation picking back up over the coming months. We think that leads the Fed to be more aggressive.,Economy,Inflation
2/23/2023,DB,"The market has repriced the terminal rate a lot, but I think not enough yet. I think we will probably see the market repricing higher on upcoming inflation data.",Economy,Interest Rates
2/23/2023,DB,"I think inflation is going to be structurally higher going forward. We have all these shifts going on, demographic forces, deglobalization, you have climate change policy. All these things, I think at the margin at least, are going to be inflationary.",Economy,Inflation
2/23/2023,DB,"If you look at the labor market, and I think it's really important, it's not just the latest data points, because we should take the January data with some grain of salt, given weather, seasonal adjustment factors, we had meaningful upward revisions to household income.",Economy,Labor
2/23/2023,DB,"You've had inflation data, which was revised up meaningfully in Q4. So I think as you look at the Fed, I don't think that they will really have any evidence of disinflation by the May meeting.",Policy,Hiking Cycle
2/23/2023,DB,"I think there's two lags that we probably want to talk about. There's what the Fed does and what happens with monetary policy to financial conditions. I think that lag has been very quick and tight. We saw it reflected in mortgage rates. Financial conditions actually tightened very quickly. And then there's the lag of that financial condition tightening onto the economy. I think that's where we are probably seeing an economy that's more resilient. You have the excess savings. We still think it's $1 trillion. At the same time, you have a labor market that's undersupplied which I think is making it very resilient to the tightening so far.",Policy,Lags
2/23/2023,DB,We have a debt ceiling debate that's going to be happening in the second half of this year which could lead to fiscal retrenchment.,Economy,Debt Ceiling
2/23/2023,DB,"It's remarkable that the Fed has tightened as much as they have, and you don't see a labor market that is really certainly not shedding labor. I think the revisions to the recent data you've had plus the latest data show really no weakening at all.",Economy,Labor
2/23/2023,DB,I would highlight the core PCE number there as well. Upward revisions. I think it likely reflects the seasonal adjustment that we saw in the CPI now getting reflected in the core PCE data as well.,Economy,Inflation
2/23/2023,DB,"I think that with the revisions to the data, with the incoming data we're seeing, there has to be a question about whether or not they are tightened sufficiently and whether or not what the market is pricing right now is tightening sufficiently.",Policy,Hiking Cycle
2/23/2023,DB,"Yield on cash may be stimulative but as the Fed tightens monetary policy, we've seen what happens to mortgage rates, we've seen what's happened to the housing market, we see rising delinquencies on autos. But the bigger picture is certainly that it tightens financial conditions.",Economy,Financial Conditions
2/23/2023,EVR,Everyone was kind of pessimistic 80% chance of a recession in the next year. We think that number is around 30%.,Economy,Recession
2/23/2023,EVR,"If you think about coming into the beginning of the year, there were three reasons the market had done as well as it had done until a week and a half ago. First, positioning was incredibly bearish. We all knew that there was epic tax loss selling, which is why the stocks that were the biggest sellers, the ones that really had the weakest performance, are all the ones that rebounded that's been neutralized. Second, the benefits of the decline in inflation. Third, combination of the inflation reaction and the price action in the equity markets themselves have caused people to believe that the soft lending is now the base case.",Markets,Equity
2/23/2023,EVR,Volmageddon 2 warning overblown. 0DTE options do is actually increase volatility intra-day. At the end of the day it's all neutralized and balanced once expired.,Markets,Equity
2/23/2023,FSI,"You fixed the mortgage market, which was the problem of the last business cycle, and now you've kind of taken that piece away from monetary policy. With homes and mortgage prices, mortgage payments locked in, you're just not going to see monetary policy have the immediate impact on spending like you did during the 2005 rate hike cycle.",Economy,Real Estate
2/23/2023,EVR,"Given the fact that at the end of last year, a lot of the pessimism came from this expectation of margin compression, we've got an earnings massive margin compression. It has not been priced in more significantly because price action sets the narrative. So you had two consecutive quarters of EPS reductions and the stock market rallied in the face of that.",Markets,Equity
2/23/2023,FSI,"I think something when we look at the impact of higher rates, housing is clearly ground zero in terms of activity. And we often think that when housing falls like this, you would see a lot of layoffs in the construction sector and we haven't seen that really. So it's just one small example of how the dynamics this time around are really different. The labor scarcity that you're experiencing in construction remains..",Economy,Real Estate
2/23/2023,FSI,"We had this headline that an office landlord controlled by Pimco has defaulted on about $1.7 billion of mortgage notes across seven buildings. Commercial real estate is also interest rate sensitive, so we're going to see some of these valuations be impacted. Remember, there are just so many fewer data points and the data is lagging in that sector more than it is for the residential sector. So I think we're going to start seeing headlines like this. We know that office space is going to be challenged, especially in the major metropolitan areas. I think there are a lot of areas where we've continued to underbuild in this sector since the Great Recession",Economy,Real Estate
2/23/2023,EVR,"But from our point of view, this whole idea of multiple expansion happening before the economic downturn, however shallow, and we do expect a shallow downturn, doesn't really add up. We'd rather see that multiple expansion coming out of the short and shallow recession.",Markets,Equity
2/23/2023,DB,"We have a 5-6% terminal rate, which I think then builds into the hard landing risk later. We currently have the downturn in Q4.",Economy,Recession
2/23/2023,FSI,"In every recession we go into it thinking, looking at our past, prior business cycles, pulling out the playbook and you just really have to rethink it every time.",Economy,Recession
2/22/2023,BB,"Yields on 6-month T-bills are climbing to new post-2007 highs. Yields on 12-month T-bills have risen to their highest since 2001. Most of this has to do with Fed rate hike expectations, but the uncertainty surrounding the debt ceiling doesn’t help either.",Markets,Debt
2/22/2023,SCHW,Latest survey (of 553 investors) shows 1/3 of respondents say they need $3 million to retire comfortably. Another 1/3 say they need $5 million.,Investments,Retirement
2/22/2023,EVR,"But there's a PMI for services and it's dropped 20 points from 75 to 55. And there are plenty of services that I think are slowing, particularly in the financial services area, insurance, etc.",Economy,Inflation
2/22/2023,EVR,"There are half a dozen measures of rents, surveys of rents, and they've all slowed significantly, if not declined over the past nine months.",Economy,Inflation
2/22/2023,EVR,"And they lead the Shelter CPI by about eight months. So I'm a couple of months late now on this showing up, but I think the shelter is going to slow and then before you ask it, wages are going to slow.",Economy,Inflation
2/22/2023,EVR,"Following M2 and it's collapse so carefully because every time you had a bout of inflation, money growth accelerated 10-15%.",Economy,Inflation
2/22/2023,EVR,"We're already getting into an environment where life goes on because the economy is doing so well right now. I know there are lags involved, but the stock market is pretty contemporaneous and they know that rates are high.",Economy,Recession
2/22/2023,EVR,"The Fed, I think, is doing a pretty good job of communicating what their plans are. If I was them, I would pause and see what they've gotten done so far. I would pause given how much water is under the bridge.",Policy,Hiking Cycle
2/22/2023,EVR,"China has gotten through the pandemic plus stimulus working through the system. Once they get the factories going, I think they'll be an increased source of exports. I think they're going to push up commodity prices like copper, but then come in and push down, finish good prices.",Economy,Growth
2/22/2023,EVR,Shift to renewables away from oil and gas could feed into my strong view that inflation is going to be less than what people expect.,Economy,Inflation
2/22/2023,BNY,"So, you know, gravity will come to play a role at some point, but we have to land in a place where it's higher real rates or longer.",Economy,Interest Rates
2/22/2023,BNY,"Financials the most sold sector globally, full stop, right? And that's what's telling me is we have high front end yield, higher funding costs, but there's no loan demand out there",Markets,Equity
2/22/2023,EVR,"One of the big services is rents, and I'm convinced they're going to slow dramatically and maybe even go negative for the Shelter CPI.",Economy,Inflation
2/22/2023,EVR,"Then getting to today bank deposits, which are 85% of the money supply, are a practical way to track it every week, and they have declined significantly. They're down about 2% now, and they've declined 100 billion in the past two weeks.",Economy,Inflation
2/22/2023,EVR,"But last year, the money supply increased almost 30%. The year before that, government outlays increased 50%. And the Fed monetized it and now M2 last week was -3% which is an ominous or significant decline and it leads by 1-2 years. And I think it shows up in some of the slowdown of inflation readings we're seeing now, like container freight rates, natural gas.",Economy,Inflation
2/22/2023,CITI,"In 2021 inflation surged and many central banks sat idly on the sidelines. In 2022, central banks recognized their mistakes and vigorously tightened policy. It appears that 2023 will be the year when the effects of that hiking cycle more fully play through.",Policy,Hiking Cycle
2/22/2023,EVR,"In 1923, John Maynard Keynes wrote a paper that said the money supply leads by 16 months. So I've been surprised, but I haven't been fighting the idea. The economy is strong now because a year ago, Fed funds were zero. And so QT will show up more toward the end of this year.",Economy,Inflation
2/22/2023,FED,Inflation around the world across history is often associated with wars. Think of the pandemic as a war. Governments spend a lot without asking too many questions about future taxes. Policy has to switch back to a pre-war regime.,Economy,Inflation
2/22/2023,BNY,"Velocity of money that has not picked up because people are still scared. But if we see the consumer demand and further down the industrial demand out there, then banks can start to lend.",Economy,Lending
2/22/2023,EVR,"I will say that I'm watching most closely the price of oil, and that is my North Star as to how China is progressing right now. And oil prices are pretty quiet right now, around $75 for West Texas. And so that tells me that China hasn't gotten ripping ahead yet.",Economy,Energy
2/22/2023,SCHW,"Single-family existing home sales have plunged 36% year over year, which is worst annual drop since May 1980.",Economy,Real Estate
2/22/2023,PIP,Mortgage applications for home purchases fall to a 28-year low. Housing looks far from bottoming. New bull markets begin with housing improving.,Economy,Real Estate
2/22/2023,EVR,"On the no landing part, I mentioned long and variable lags, and they're pretty painful. Reinhart–Rogoff wrote a piece in early 2009 criticizing people that had moved to the view that we would have no recession, that housing weakness would be contained.",Economy,Recession
2/21/2023,CITI,"I'd say it's the last hurrah for oil demand in China and close to the last hurrah for demand around the world. So we're not going to see with this recovery, we're not going to see this greater pull on demand coming back with the recovery.",Economy,Energy
2/21/2023,CITI,"Partly because of the release of strategic oil, US has become by far the largest gross exporting country in the world. We're exporting close to 10 million barrels a day of oil, and that's after the SBR release was over. That's more than Russia, Saudi Arabia combined.",Economy,Energy
2/21/2023,CITI,"And US supply is way up. If we look at real liquids, oil, biofuels, natural gas liquids, and the gains we get for running our refineries full out, we're at 21 million barrel a day producing country. That's kind of extraordinary, and nothing that we expected a year ago when this Russian Ukraine conflict started and emerged.",Economy,Energy
2/21/2023,CITI,"Oil demand falling because of trade obstacles put in place in Trump administration, as well as an accelerating energy transition. Electric vehicle sales, particularly in China, where it's 39% of all sales in 2022, phenomenal growth in Europe and US is really not far behind.",Economy,Energy
2/21/2023,BP,"I think that the oil market remains very uncertain, but I think the biggest surprise over the last year is Russian exports of crude haven't changed. But where they're being exported to has changed very dramatically, massive shift away from Europe now.",Economy,Energy
2/21/2023,BP,"Everybody's been surprised by just the pace at which the China's relaxation of the COVID policy has happened and so revised up their views of all demand growth this year. If you look at most people now consensus out there would have oil demand growth of about 2 million barrels a day this year. Of that, around half of that is China. So they're massively important in the near term.",Economy,Energy
2/21/2023,BP,"Import less oil and gas, boost your domestic renewables. And that has a positive in terms of the energy transition.",Economy,Energy
2/21/2023,BP,"It's such an important point when people look at commodities, it's almost a proxy for global growth. If the economy does well, supposedly oil prices should go up. If the economy goes into recession, oil prices should go down.",Economy,Energy
2/21/2023,BP,Oil prices can stay low even with a decent global economy because of alternative forms of energy and change in business models focus on giving returns back to shareholders and reinvesting less.,Economy,Energy
2/21/2023,BP,"There's three factors behind Europe's better performance, that's consuming less gas, bringing coal back online, and just the fact that weather has been milder.",Economy,Energy
2/21/2023,ETO,"Europe being the best performing region in the world this year. Yes, you had a growth story, but you're coming off 11-12x earnings.",Markets,Equity
2/21/2023,CITI,"Commodities is an attractive place to go. And if we look at investments in the renewable side, they're blossoming. They're there in carbon capture, they're there in hydrogen, they're there in the areas where this new technology is working. That includes industry, it includes transportation, it includes buildings.",Investments,Commodities
2/21/2023,ETO,"I think history tells you that when you have these big companies like HSBC and you try and split them up, especially in regulated businesses like banks, it's not that it's impossible, but it's certainly difficult.",Corporate,Spin-Out
2/21/2023,ETO,"Combination of strong bank earnings beats, higher interest rates and well, under book value valuations is a pretty attractive proposition.",Corporate,Earnings
2/21/2023,CS,"Looking at unit and price dynamics at big retail, Walmart is clearly seeing trading in, but Walmart is clearly also seeing a higher cost serve, as is Home Depot.",Corporate,Margins
2/21/2023,CS,I think the problem that retailers are going to face is that it's just a higher cost to serve and margin structure may be very similar to pre-pandemic levels on a much higher sales base because costs keep flowing through.,Corporate,Margins
2/21/2023,CS,"And case in point, Walmart called it out, obviously earlier, prior to reporting on labor, and Walmart, sorry, Home Depot did today in terms of their billion dollar investment in labor, cost of service just going up.",Corporate,Labor
2/21/2023,CS,I think what you really have to look at is some retailers really leaned into investing during their sales gains. Investment did not flow through margins. And their margin structure hasn't really changed.,Corporate,Margins
2/21/2023,CS,What's catching up to many retailers is you should never harvest your sales gains. You always have to reinvest.,Corporate,Capital Expenditures
2/21/2023,CS,"But I think investors are going to be shocked by the fact that those massive margin increases across much of retail are just going to be completely imploded and probably even be down relative to pre pandemic levels because cost to do business have gone up and sales are maybe higher or maybe not, depending on the retailer.",Corporate,Margins
2/21/2023,CS,"The retailers that can offset some of that margin pressure with just better top line growth are club stores like Costco. But the rest of the retailers, I think you have another investment cycle coming.",Corporate,Margins
2/21/2023,ETO,"I think this rally has been very fundamentally driven. It's been this easing inflation and interest rate shock and less bad growth data. Now, there's going to be a pause you cannot annualize the degree of performance we've had this year.",Markets,Equity
2/21/2023,ETO,"I think we can argue that the VIX is probably a sort of broken indicator here, but we would definitely be pulling back on some of the higher risk elements of the market here.",Markets,Equity
2/21/2023,SOF,"S&P 500 equity risk premium is at its lowest level since 2007. When you're getting less compensation for taking on risk, it's a good time to be choosy.",Investments,Risk Management
2/21/2023,BP,"So I think we spent quite a long time thinking about how the war may affect energy markets. Energy economists will often talk about security, affordability and sustainability as the energy trilemma. You can't solve a trilemma, but the points of the importance of the trilemma is you need to balance all three of those different elements if you're going to have a successful and enduring energy transition. And I think there is a danger that prior to the war, the world had come focusing on just one element and had lost touch on those other two.",Economy,Energy
2/21/2023,BP,"Countries worrying more and more about energy security, a natural instinct will be to say, I want to reduce the level of imports I'm making of energy and instead boost my domestic energy. The nature of that is most domestic energy for many parts of the world, including in China, it's non fossil fuels, it's wind, it's solar, it's nuclear, it's hydro. Most of the energy that you import around the world, particularly in China, is oil and gas. And so one of the stories that we have in our outlook is we think the war is likely to accelerate the energy transition because of this energy security effect.",Economy,Energy
2/21/2023,ETO,These higher bond yields are beginning to put a ceiling on valuations. And what was extraordinarily depressed in the investor sentiment three or four months ago is now less depressed. And that has been the sort of gasoline that's been poured on this rally in the last few months.,Markets,Equity
2/21/2023,ETO,"If you've been lucky enough to ride that sort of 50% disruptive Tech rally off the October lows, I think now is the moment to rotate into cheaper, more cash flows, sort of defensive bits of the market.",Investments,Stocks
2/21/2023,ETO,"So I think it's cheaper, more cash flow generating stocks that are less exposed to this sort of potential valuation reset.",Investments,Stocks
2/21/2023,ETO,"With bond yields now rising, fair value PE for the S&P 500, it's down at 15-16x. It's not 18x.",Markets,Equity
2/21/2023,JPM,"Historically, equities do not typically bottom before the Fed is advanced with cutting, and we never saw a low before the Fed has even stopped hiking.",Markets,Equity
2/21/2023,BAC,"We may be exiting the best S&P EPS era, but we are likely entering the best stock pickers market in our careers. We think now is not a time to buy the (crowded) market index. Shifts in liquidity should drive opportunities within, and outside of, the index.",Investments,Stocks
2/17/2023,MS,"The people inside the Fed tend to be very, very focused on what their mandate is and they try to block out the political noise to the degree humanly possible, the mandate being to really bring inflation down to that 2% target. And that mandate is getting harder to wrap your head around right now because we don't understand the contours of inflation.",Policy,Hiking Cycle
2/17/2023,MS,I have to say the last data print does make things a little challenging to read exactly the fundamental story of some disinflation from core goods and some hopefully coming disinflation from housing that's generally still intact.,Economy,Inflation
2/17/2023,MS,"We've had the view for a long time that we'd have a soft landing, that we would not go into recession this year.",Economy,Recession
2/17/2023,MS,"You can have inflation get back down to target without a recession, but it's a narrow path. It's pretty difficult.",Economy,Inflation
2/17/2023,MS,"Economy is still somewhat understaffed outside of tech, and I think it's that residual sort of catch up and hiring that's giving some support to what's going on.",Economy,Labor
2/17/2023,MS,"But if we can get the economy to slow down, fundamentally open up a bit of slack in the labor market without causing a recession, that's possible.",Economy,Recession
2/17/2023,MS,The way we measure housing inflation in the United States is not on home prices. BLS theory is that they want to separate out homes as an asset versus the flow of housing services that you get. And so that's why we have this concept of owners equivalent rent.,Economy,Inflation
2/17/2023,MS,What you pointed out is that real wage growth has been negative because overall consumer prices have been rising faster than people's income.,Economy,Labor
2/17/2023,MS,Inflation tends to crimp people's spending behavior. And we have seen over the past couple of years a notable slowdown in consumer spending growth.,Economy,Consumer Spending
2/17/2023,MS,"The challenge, of course, is sorting out the cyclical part of inflation in housing, the cyclical part of demand in housing from a strong labor market, from that idiosyncratic, COVID driven part of things.",Economy,Inflation
2/17/2023,COW,"So you have all these supply constraints, you have a lot of demand still and you have very strong pricing. And fuel costs have come off their highs. Looking good from a margin perspective.",Corporate,Margins
2/17/2023,CRO,The most inverted yield curve in 40 years. Money growth is negative. The impact of what the Fed did last year is yet to be felt on the economy. I think the market is ahead of itself and we're going to give a lot of this back.,Markets,Debt
2/17/2023,CRO,Earnings estimates are going to come down somewhere. They come down a lot already. Stocks have a hard time moving significantly higher when earnings estimates are coming down.,Markets,Equity
2/17/2023,CRO,"The Fed is not done raising rates, which means that the trading environment from 2022 will be coming back and the 60 40 portfolio will perform poorly.",Markets,Equity
2/17/2023,CRO,10-Year Treasury yields have been creeping higher after a huge flood of cash into longer duration for the first month of the year.,Markets,Debt
2/17/2023,CRO,I want to have a little about four and a half percent cash in my portfolio.,Investments,Risk Management
2/17/2023,CRO,"And in the stock market I want to own a lot of the things that have not done well year to date, which are the things that did do well last year. Companies with earnings, reasonable valuations, good cash flow.",Investments,Stocks
2/16/2023,MAS,"Consumer is out there able and willing to spend. And this speaks to the inflation data, it speaks to the labor market data that the consumer still has purchasing power.",Economy,Consumer Spending
2/16/2023,MAS,Consumer of course has utilized savings and increased credit card usage.,Economy,Consumer Spending
2/16/2023,MAS,"Good news on the disinflationary storyline is that the supply side has really come back. You've seen this, this repair of supply chains, you've seen the restocking of retailers.",Economy,Inflation
2/16/2023,MAS,"So inventory levels are back to normal and retailers have been able to return to just in time inventories, which makes pricing much easier, much more transparent.",Corporate,Pricing
2/16/2023,MAS,During the holiday season we did see consumers enjoy a lot more promotions and discounts.,Corporate,Pricing
2/16/2023,MAS,"Disinflationary story for services, particularly the supercore which takes out housing, it's going to be more tied to the labor market. And there, we know there's still some wage pressure, we know there's still a lot more stickiness. So that's just going to take time.",Economy,Inflation
2/16/2023,MAS,"If you think about the core goods components prior to the pandemic, those were deflationary components, they were seeing price reductions and then you have this dramatic increase in the level of prices which does not seem sustainable. So a mean reversion back to more normal levels or more of a disinflationary tendency for those categories seems right? And the labor market, we know, is not going to be able to continue at this rate forever.",Economy,Inflation
2/16/2023,ACS,"Every day now, they create options that expire either that day or the next day. People are really literally gambling and you can sit there. It's almost like watching a horse race. Volumes have exploded for as much as 40% of equity.",Markets,Equity
2/16/2023,ACS,"Volumes can be related and tied back to the hedging of these single day options. So it's a very massive driver and I think it's why we're seeing moves just that are amplified. So maybe something that would be a half percent move based on the news becomes a one and a half to 2% move. And it's going in both directions, tends to exaggerate the price move.",Markets,Equity
2/16/2023,ACS,"And I think it reminds me a lot of what we are seeing about a year and a half, two years ago where you kind of had those gamma squeezes and that was very much individual stocks.",Markets,Equity
2/16/2023,ACS,VIX is kind of irrelevant to me. VIX only calculates options with 27 to 35 days of expiration as more and more people gravitate towards these daily options. To the roulette machine. Volatility doesn't get picked up in that. So I think that's where the surprises are going to come.,Markets,Equity
2/16/2023,ACS,People are looking at VIX for the hedging. It's all occurring in this daily and weekly option.,Markets,Equity
2/16/2023,ACS,"Options are derived out of four times leverage. Futures derive out a ten times leverage. With these short dated options, what is their leverage equivalent? It's got to be way higher.",Markets,Equity
2/16/2023,ACS,"I think 0DTE really has started gravitating more and more towards not just retail traders, but institutional traders are gravitating to this. You're not getting these types of volumes because it's mom and pop or the kids playing. This has definitely hit the big institutional desk as a trading strategy.",Markets,Equity
2/16/2023,ACS,"I think market position now turns on a dime. The ability to move huge amounts of risk through relatively short dated options, I think has changed that risk positioning. So it used to take weeks to a month for everyone to go from overbought to oversold. I think these things happen in days or weeks now.",Markets,Equity
2/16/2023,ACS,"If it's like everything else, I think what we'll see is one down day where we go through some of the triggers that stop the exchanges, and then regulators will pay attention because no one ever pays that much attention when the bias tends to be higher.",Markets,Equity
2/16/2023,BLK,"Last year was very driven by rate beta. The sensitivity of the stock market, particularly growth stocks, and even more than that, the early growth names to both nominal and real rates. We've seen this move higher in rates, and the Nasdaq is ripping.",Markets,Equity
2/16/2023,BLK,You've had a reversal from really extreme positioning at the end of 2022. And that hasn't clearly ended yet. You had massive tax loss selling. You had massive shorts in a lot of these names.,Markets,Equity
2/16/2023,BLK,"The glass is half full argument is exactly what you're alluding to. And now you've got a better and better likelihood of either a soft or no landing. That is a much bigger tailwind for earnings growth in the US. And that's one of the reasons, probably the right reason or the stock market has been as resilient as it's been",Markets,Equity
2/16/2023,BLK,The mystery is less why are stocks up versus why are parts of the market leading that really shouldn't be leading an environment where rates are still climbing.,Markets,Equity
2/16/2023,BLK,"But I think the reality is in an environment where you avoid a recession where nominal GDP is let's call it four or 5% and rate volatility is probably going to be lower by the end of the year, that's not a bad environment, and it probably leads stocks higher by the end of the year.",Markets,Equity
2/16/2023,BLK,"Cash actually doesn't look so bad right now, at least compared to some of the other parts of the curve, just given the fact that you are getting a lot to sit out.",Investments,Risk Management
2/16/2023,BLK,"We're still going for quality and that's because we're in an environment where, again, the economy we don't think is going into recession, but there will be some deceleration and we're splitting the difference. On the growth value debate, we're going for GARP.",Investments,Stocks
2/16/2023,BLK,"GARP is a style growth at a reasonable price that tends to do really well when you have an economic deceleration, but not a contraction.",Investments,Stocks
2/16/2023,BLK,"So again, I think it's more about picking your spots, having companies with strong cash flow rather than making these big bets on tech or not tech.",Investments,Stocks
2/16/2023,WED,"We're in the 8th, 9th inning and now it just comes down to valuations relative to the last five years based on growth is as good as we've seen.",Markets,Equity
2/16/2023,WED,"That's why I think right now, why these tech names continue to move higher, because what we see with fundamentals demand holding up and you have all that baked into the stock, which is why these stocks have moved up on lowered guidance and what I would say B plus type of earnings.",Markets,Equity
2/16/2023,WED,"I just think from a tech investor perspective, the macro is in the rear view. And now we're starting to get to an investor environment where a soft landing or a no landing looks like what we're seeing across tech earnings.",Markets,Equity
2/16/2023,WED,Artificial intelligence and about that data. That's the deep end of the pool because that's going to be an 800 billion dollar market and a minimum that we see over the next five or six years.,Corporate,Strategy
2/16/2023,WED,"I think you just continue to ultimately have an installed base that's increasing. 2 billion iPhones worldwide you had 975 million 18 months ago. Haters will continue to hate, but I think it will be a $3 trillion market cap.",Corporate,Product
2/15/2023,MAC,"Our view has been that there will be a recession in the US this year. It's clearly not going to start in the first quarter based on all the evidence we've gathered so far on sales, on employment trends.",Economy,Recession
2/15/2023,MAC,"But on the other hand, surveys are still pointing to a recession coming in the US. Look at the PMIs. They're below 50 for both services and manufacturing. When you look at the survey of consumer expectations coming out of New York Fed last week, it is still pointing to downbeat expectations. So are the Michigan surveys. The conference board surveys.",Economy,Recession
2/15/2023,MAC,Consumer spending is not necessarily a reflection of a positive mood. Inflation has a way of making people fear the future and they spend now. It's about the inflationary backdrop that you buy now because you're worried that prices go up later.,Economy,Consumer Spending
2/15/2023,MAC,"Eventually you see your real wages erode, you see your real income erode because of inflation and you're forced to settle into a lower level of spending because of it, in real terms.",Economy,Consumer Spending
